person_name,Time,Comments,Language
Mohit Moon,a month ago on,wonderful marble temple dedicated lord rama housing idol sita laxman hanuman place part pcbl colony upmarket residential area bidhannagar durgapuras would place worship serenity place midst industrial town attracts innumerable visitor everyday well worth visit walk wonderfully maintained lawn,en
Juhi Bhonde,a month ago on,one tourist location durgapur well maintained spend quite hour alone family,en
vikas raut,4 months ago on,soothing place,en
Siddhant Kapat,5 months ago on,ram mandir,en
Aman Khante,2 weeks ago on,cool place,en
Tejas Dighe,4 months ago on,beautiful temple,en
YAMESH LILHARE,5 months ago on,good temple,en
Ashish S Sharma,2 months ago on,soothing place,en
Aditya Banarase,a month ago on,ram mandir,en
Amit Pandey,5 months ago on,cool place,en
Siddhant Kapat,5 months ago on,beautiful temple,en
Tejas Dighe,4 months ago on,good temple,en
Amit Pandey,5 months ago on,give peacefull memorry,en
Prajwal Dahapute,a week ago on,long time,en
Dr.Swapnil Gawali,5 months ago on,jai shree ram,en
Sagar Thakur,9 months ago on,godly evening,en
Pranav Londe,5 months ago on,beautiful serene,en
Hinteshwar Vinchurkar,6 months ago on,ram mandir durgapur,en
pavan Wekhande,5 months ago on,place faith,en
SKAR,8 months ago on,good place,en
suraj barde,7 months ago on,puja,en
Sautrik Bhattacharjee,6 months ago on,om,en
Sautrik Bhattacharjee,6 months ago on,time visiting,en
Susmita Bangal,5 months ago on,old mandir,en
diksha tandulkar,5 months ago on,smal birla mandir type temple,en
Samrat Ambhore,6 months ago on,good temple,en
Praful Somkuwar,5 months ago on,good place,en
Crabtree India Travels,5 days ago on,may get turned watching specie action favor family close kamra watch vande matram mandir wahi banega jai shri ram,en
Raj Kumar T,5 days ago on,may get turned watching specie action favor family close kamra watch vande matram mandir wahi banega jai shri ram,en
Madan Gopal M,3 months ago on,anjanaomkashyap ji u may woman ur appearance actual u r puppet bjp plz realize u r woman u plastic doll speaks bjp way bharat mata ki jai jai hind mandir bhi wahi banega vande matram jai shri ram,en
krishna292,a month ago on,anjanaomkashyap ji u may woman ur appearance actual u r puppet bjp plz realize u r woman u plastic doll speaks bjp way bharat mata ki jai jai hind mandir bhi wahi banega vande matram jai shri ram,en
Pallavi,5 months ago on,coz pak brother cant illegally live india moreor assumingand removed kashmirand ram mandir wahi banegaand triple talaqand appeasement,en
Rudraksh Travels Varanasi,5 months ago on,sc given verdict mandir wahi banega ayodhya jai shree ram,en
982pradipb,3 months ago on,coz pak brother cant illegally live india moreor assumingand removed kashmirand ram mandir wahi banegaand triple talaqand appeasement,en
soham1990,9 months ago on,sc given verdict mandir wahi banega ayodhya jai shree ram,en
guddu1954,a month ago on,azadi slogan sometimes hold precarious similarity hindu nationalist rallying cry jai shree rammandir wahi banegain name ram name azaadipeople find capable legitimize every thing however deplorable may httpstwittercomzaarpaarstatus,en
Ajeet N,4 months ago on,wahi ndtv ravish kumar ko samjh nai ata jab modi mange vote bikash tum log chalu ram mandir kab banega muslim ko candidate kyun ni kia mahila seat kitne die men kya hua men kya hua men kya hua sarm karo bjpindia sardesairajdeep sambitswaraj,en
Swastik Purkait,4 months ago on,reply woh dega mandir wahi banega jai shree ram,en
Shivay Chaudhary,4 months ago on,sir bharath maata ki jai jai shri ram mandir wahi banega,en
Viral Arya,5 months ago on,proud nationalist kunalkamra mindsince heard mandir wahi banega samjhe mandir ek jhanki hai abhi pura ram rajya baaki hai lol,en
KRAMA200,4 weeks ago on,excellent visit sri ram janmabhoomi ayodhya,en
Shashi Ranjjan Kalvaar,5 months ago on,mobilenot allow near premise,en
janhavi9,5 months ago on,karuna nidhan ram mandir,en
Binoy S,5 months ago on,majestic temple,en
TapasyaKaulRajaram,2 months ago on,jai shri ram,en
krishna831,2 months ago on,good place well worth visit,en
Suma kumar59,5 months ago on,shri ram janam bhoomi,en
jnrobin,5 months ago on,dream come true,en
Raja P,5 months ago on,one revered religious place hindu india,en
hemant m,6 months ago on,time bound darshan lord ram,en
laavanya kumar,5 months ago on,ram janam bhoomi,en
Sameer A,4 months ago on,blissful feeling,en
Vishal,4 months ago on,shri ram janma bhoomi,en
Fearless715545,4 months ago on,dharshan time,en
deepak s,2 months ago on,visit landscape change soon,en
banjara_abhi,6 months ago on,divine place people faith lord rama visit,en
Shri Krishan Kansal,4 months ago on,holy place,en
Nsrrbw I,4 months ago on,holy place,en
Abhishek S,a month ago on,long trek shed,en
Abhishek S,a month ago on,holy place,en
Ayush A,a month ago on,faith hype,en
S_K,4 months ago on,nice place,en
Ajay A,2 months ago on,visit,en
ansangam,a year ago on,ram lala darshan,en
Santosh,2 months ago on,trip birth site shri ram,en
hemant20278,4 months ago on,place controversy,en
venkatveg,2 months ago on,janambhumi,en
prasan,3 weeks ago on,spritual experience lord ram birth place,en
KamalaSeshadri,6 months ago on,birth place ram,en
sudhir k,6 months ago on,disputed history,en
Gaurav Kaushik,4 months ago on,thnkyou,en
serge p,8 months ago on,birth place shri ram,en
serge p,4 months ago on,visit shree ram janm bhmi camp temple ayodhya ji,en
Mithlesh1989,4 months ago on,must visit everyone,en
DV_deshpande,5 months ago on,high profile place visit,en
Manish B,4 months ago on,great experience,en
RVGIYER,3 months ago on,bolo raja ram chandra ki jai,en
sujatapant,5 months ago on,shri ram birth place,en
Abhay saxena,5 months ago on,took ram lalas blessing vijay dashmi,en
srnayak,5 months ago on,darshan shri ram janma bhoomi,en
Mukulfaiz,5 months ago on,heartbeat india,en
Akash7771,2 months ago on,disappointed,en
Ananth P,6 months ago on,believe,en
Vijaypsingh81,5 months ago on,revered place,en
swarnaprabha k,6 months ago on,sri ram janma boomi nothing place sri rama took birth must visit place,en
cyberconda,3 months ago on,historical place,en
Narendra Rai,6 months ago on,religious trip,en
himanish,9 months ago on,historic place,en
venkatesha K,6 months ago on,good,en
roshniSA,2 weeks ago on,extreme level security unknown reason,en
Manish B,2 months ago on,ayodhya trip,en
Anand U,2 weeks ago on,high light ayodhya visit,en
ANMahusudan,2 months ago on,ayodhya visit,en
GuptaMK,2 weeks ago on,ram lalla ayodhya,en
vaida17,3 months ago on,moment estacy,en
Neerajdangi15,5 months ago on,feel great,en
Anuragme,9 months ago on,ramjanama bhomi,en
